levelAvailable,name,brand,style,color,rarity,price,level1Offense,level1Defense,level1Fitness,level1QuantityRequiredToUpgrade,level1CredsRequiredToUpgrade,level2Offense,level2Defense,level2Fitness,level2QuantityRequiredToUpgrade,level2CredsRequiredToUpgrade,level3Offense,level3Defense,level3Fitness,level3QuantityRequiredToUpgrade,level3CredsRequiredToUpgrade,level4Offense,level4Defense,level4Fitness,level4QuantityRequiredToUpgrade,level4CredsRequiredToUpgrade,level5Offense,level5Defense,level5Fitness
N/A,Starter Pants,N/A,Varies,Varies,N/A,N/A,0,0,0,,,,,,,,,,,,,,,,,,,,
N/A,Icon Shorts,N/A,Shorts,Varies,Starter,N/A,0,0,0,,,,,,,,,,,,,,,,,,,,
1,Cargo Shorts,All-World,Shorts,Gray,Starter,50,0,0,1,3,100,0,1,1,5,400,1,1,1,7,750,1,1,2,9,1750,1,2,2
1,Shorts (Custom) 1,All-World,Shorts,Black,Starter,50,0,0,1,3,100,0,1,1,5,400,1,1,1,7,750,1,1,2,9,1750,1,2,2
1,Sweats,All-World,Sweatpants,Black,Starter,50,0,0,1,3,100,0,1,1,5,400,1,1,1,7,750,1,1,2,9,1750,1,2,2
1,WBT Shorts,Adidas,Shorts,Blue,All-Star,N/A,1,0,0,3,100,1,1,0,5,400,2,1,0,7,750,2,2,0,9,1750,2,2,1
1,WBT Shorts,Adidas,Shorts,Gray,All-Star,N/A,1,0,0,3,100,1,1,0,5,400,2,1,0,7,750,2,2,0,9,1750,2,2,1
1,Classic Joggers,OVERTIME,Pants,Army,All-Star,350,1,1,2,13,100,2,1,3,15,400,4,1,5,17,750,5,2,7,19,1750,5,2,8
2,Medium Shorts,All-World,Shorts,Purple,Starter,60,0,0,1,3,100,0,1,1,5,400,1,1,1,7,750,1,1,2,9,1750,1,2,2
2,Shorts (Custom) 2,All-World,Shorts,Purple,Starter,60,0,0,1,3,100,0,1,1,5,400,1,1,1,7,750,1,1,2,9,1750,1,2,2
2,Jogger Pants,All-World,Pants,Gray,Starter,60,0,0,1,3,100,0,1,1,5,400,1,1,1,7,750,1,1,2,9,1750,1,2,2
2,Sweat Pants,All-World,Sweatpants,Gray,Starter,60,0,0,1,3,100,0,1,1,5,400,1,1,1,7,750,1,1,2,9,1750,1,2,2
2,365 Shorts,Adidas,Shorts,Gray,All-Star,N/A,1,0,1,3,100,1,1,1,5,400,2,1,1,7,750,2,2,1,9,1750,2,2,2
2,Play Hoops Joggers,OVERTIME,Pants,Yellow,All-Star,N/A,0,1,0,3,100,0,1,1,5,400,0,2,1,7,750,0,2,2,9,1750,1,2,3
3,Jogger Pants,All-World,Pants,Army Green,Starter,100,0,0,1,3,100,0,1,1,5,400,1,1,1,7,750,1,1,2,9,1750,1,2,2
3,Jogger Pants,All-World,Pants,Charcoal,Starter,100,0,0,1,3,100,0,1,1,5,400,1,1,1,7,750,1,1,2,9,1750,1,2,2
3,Sweats,All-World,Sweatpants,Red,Starter,100,0,0,1,3,100,0,1,1,5,400,1,1,1,7,750,1,1,2,9,1750,1,2,2
4,AW SweatPants,All-World,Sweatpants,Black/White,Starter,125,1,0,1,3,100,1,1,1,5,400,1,1,2,7,750,1,2,2,9,1750,2,2,2
4,AW SweatPants,All-World,Sweatpants,Blue/White,Starter,125,1,0,1,3,100,1,1,1,5,400,1,1,2,7,750,1,2,2,9,1750,2,2,2
4,AW SweatPants,All-World,Sweatpants,Red/Black,Starter,125,1,0,1,3,100,1,1,1,5,400,1,1,2,7,750,1,2,2,9,1750,2,2,2
4,AW SweatPants,All-World,Sweatpants,White/Black,Starter,125,1,0,1,3,100,1,1,1,5,400,1,1,2,7,750,1,2,2,9,1750,2,2,2
4,AW SweatPants,All-World,Sweatpants,Yellow/Black,Starter,125,1,0,1,3,100,1,1,1,5,400,1,1,2,7,750,1,2,2,9,1750,2,2,2
4,Red Stripe Pants,All-World,Sweatpants,Black/Red,Starter,125,1,0,1,3,100,1,1,1,5,400,1,1,2,7,750,1,2,2,9,1750,2,2,2
4,WBT 120 Shorts,Adidas,Shorts,Black,All-Star,N/A,1,1,1,3,100,2,1,1,5,400,2,2,1,7,750,2,2,2,9,1750,2,3,2
4,WBT 120 Shorts,Adidas,Shorts,Gray,All-Star,N/A,1,1,1,3,100,2,1,1,5,400,2,2,1,7,750,2,2,2,9,1750,2,3,2
5,AW SweatPants,All-World,Sweatpants,Blue,Starter,150,0,1,1,3,100,1,1,1,5,400,1,1,2,7,750,1,2,2,9,1750,1,3,2
5,AW SweatPants,All-World,Sweatpants,Gray,Starter,150,0,1,1,3,100,1,1,1,5,400,1,1,2,7,750,1,2,2,9,1750,1,3,2
5,AW SweatPants,All-World,Sweatpants,Red,Starter,150,0,1,1,3,100,1,1,1,5,400,1,1,2,7,750,1,2,2,9,1750,1,3,2
5,AW SweatPants,All-World,Sweatpants,Yellow,Starter,150,0,1,1,3,100,1,1,1,5,400,1,1,2,7,750,1,2,2,9,1750,1,3,2
5,Pro Madness 3,Adidas,Shorts,Black,All-Star,N/A,1,1,2,3,100,1,2,2,5,400,2,2,2,7,750,2,2,3,9,1750,2,3,3
