levelAvailable,name,brand,style,color,rarity,price,level1Offense,level1Defense,level1Fitness,level1QuantityRequiredToUpgrade,level1CredsRequiredToUpgrade,level2Offense,level2Defense,level2Fitness,level2QuantityRequiredToUpgrade,level2CredsRequiredToUpgrade,level3Offense,level3Defense,level3Fitness,level3QuantityRequiredToUpgrade,level3CredsRequiredToUpgrade,level4Offense,level4Defense,level4Fitness,level4QuantityRequiredToUpgrade,level4CredsRequiredToUpgrade,level5Offense,level5Defense,level5Fitness
N/A,Starter Jersey,N/A,Varies,Varies,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,
N/A,Icon Jersey,N/A,Jersey,Varies,Starter,N/A,,,,,,,,,,,,,,,,,,,,,,,
1,Uniform (Custom) 1,All-World,Jersey,Black,Starter,50,0,0,1,3,150,0,1,1,5,500,0,1,2,7,1000,0,2,2,10,2500,1,2,2
1,Untucked (Custom) 1,All-World,Jersey,Black,Starter,50,0,0,1,3,150,0,1,1,5,500,0,1,2,7,1000,0,2,2,10,2500,1,2,2
1,Legacy of Greatness,All-World,T-shirt,Black,Starter,75,0,1,1,3,150,0,1,2,5,500,1,1,2,7,1000,1,2,2,10,2500,2,2,2
1,Tshirt (Custom) 1,All-World,T-shirt,Purple,Starter,50,0,1,0,3,150,0,2,0,5,500,1,2,0,7,1000,1,2,1,10,2500,2,2,1
1,Basic Sweatshirt,All-World,Hoodie,Gray,Starter,50,1,0,0,3,150,1,0,1,5,500,2,0,1,7,1000,2,0,2,10,2500,2,1,2
1,LD CZ Hoodie,Adidas,Hoodie,Black,All-Star,N/A,0,0,2,3,150,0,1,2,5,500,0,2,2,7,1000,1,2,2,10,2500,1,2,3
1,LD CZ Hoodie,Adidas,Hoodie,Navy Blue,All-Star,N/A,0,0,2,3,150,0,1,2,5,500,0,2,2,7,1000,1,2,2,10,2500,1,2,3
1,76ers Tee,HOMAGE,T-shirt,Blue,All-Star,N/A,0,2,0,3,150,0,2,1,5,500,0,2,2,7,1000,1,2,2,10,2500,1,3,2
1,Blazers Tee,HOMAGE,T-shirt,Red,All-Star,N/A,0,2,0,3,150,0,2,1,5,500,0,2,2,7,1000,1,2,2,10,2500,1,3,2
1,Bucks Tee,HOMAGE,T-shirt,Red,All-Star,N/A,0,2,0,3,150,0,2,1,5,500,0,2,2,7,1000,1,2,2,10,2500,1,3,2
1,Classic Hoodie,OVERTIME,Hoodie,Army,All-Star,350,2,1,1,13,150,3,1,2,15,500,4,1,4,17,1000,6,2,6,19,2500,6,2,7
1,Classic Hoodie,OVERTIME,Hoodie,Oat,All-Star,N/A,0,1,1,3,150,0,1,2,5,500,1,1,2,7,1000,1,2,2,10,2500,2,2,2
1,Classic Hoodie,OVERTIME,Hoodie,Orange Oak,All-Star,N/A,0,1,1,3,150,0,1,2,5,500,1,1,2,7,1000,1,2,2,10,2500,2,2,2
1,Long Sleeve,SLAM,Long Sleeve,Gray,All-Star,75,2,0,0,3,150,2,0,1,5,500,2,0,2,7,1000,?,?,?,10,2500,3,1,2
1,Long Sleeve,SLAM,Long Sleeve,White,All-Star,75,2,0,0,3,150,2,0,1,5,500,2,0,2,7,1000,?,?,?,10,2500,3,1,2
2,Uniform (Custom) 2,All-World,Jersey,Purple,Starter,60,0,0,2,3,150,0,1,2,5,500,0,1,3,7,1000,0,2,3,10,2500,1,2,3
2,Untucked (Custom) 2,All-World,Jersey,Purple,Starter,60,0,0,2,3,150,0,1,2,5,500,0,1,3,7,1000,0,2,3,10,2500,1,2,3
2,Long Sleeve Shirt,All-World,Long Sleeve,Gray,Starter,60,2,0,0,3,150,2,0,1,5,500,3,0,1,7,1000,3,0,2,10,2500,3,1,2
2,Warm Up Jacket,All-World,Jacket,Red,Starter,60,0,2,0,3,150,1,2,0,5,500,1,3,0,7,1000,2,3,0,10,2500,2,3,1
2,LD CZ Hoodie,Adidas,Hoodie,Gray,Starter,N/A,0,0,3,3,150,0,1,3,5,500,0,2,3,7,1000,1,2,3,10,2500,1,2,4
2,LD CZ Hoodie,Adidas,Hoodie,Red,Starter,N/A,0,0,3,3,150,0,1,3,5,500,0,2,3,7,1000,1,2,3,10,2500,1,2,4
2,LD CZ Hoodie,Adidas,Hoodie,Royal Blue,Starter,N/A,0,0,3,3,150,0,1,3,5,500,0,2,3,7,1000,1,2,3,10,2500,1,2,4
2,Classic Hoodie,OVERTIME,Hoodie,Navy,All-Star,N/A,0,2,1,3,150,0,2,2,5,500,?,?,?,7,1000,?,?,?,10,2500,2,3,2
2,Ja Morant Tee,SLAM,T-shirt,Black,All-Star,250,3,0,0,3,150,3,0,1,5,500,3,0,2,7,1000,?,?,?,10,2500,4,1,2
3,Jelly Hoodie,All-World,Hoodie,Black,Starter,100,0,2,1,3,150,0,2,2,5,500,1,2,2,7,1000,1,3,2,10,2500,2,3,2
3,Jelly Hoodie,All-World,Hoodie,Gray,Starter,100,0,2,1,3,150,0,2,2,5,500,1,2,2,7,1000,1,3,2,10,2500,2,3,2
3,Jelly Hoodie,All-World,Hoodie,Orange,Starter,100,0,2,1,3,150,0,2,2,5,500,1,2,2,7,1000,1,3,2,10,2500,2,3,2
3,Jelly Hoodie,All-World,Hoodie,Pink,Starter,100,0,2,1,3,150,0,2,2,5,500,1,2,2,7,1000,1,3,2,10,2500,2,3,2
3,Jelly Hoodie,All-World,Hoodie,White,Starter,100,0,2,1,3,150,0,2,2,5,500,1,2,2,7,1000,1,3,2,10,2500,2,3,2
3,Bulls Tee,HOMAGE,T-shirt,Black,All-Star,N/A,0,2,2,3,150,1,2,2,5,500,1,3,2,7,1000,?,3,?,10,2500,2,3,3
3,Cavs Tee,HOMAGE,T-shirt,White,All-Star,N/A,0,2,2,3,150,1,2,2,5,500,1,3,2,7,1000,?,3,?,10,2500,2,3,3
3,Cavs Tee,HOMAGE,T-shirt,Yellow,All-Star,N/A,0,2,2,3,150,1,2,2,5,500,1,3,2,7,1000,?,3,?,10,2500,2,3,3
3,Celtics Tee,HOMAGE,T-shirt,Gray,All-Star,N/A,0,2,2,3,150,1,2,2,5,500,1,3,2,7,1000,1,3,3,10,2500,2,3,3
