levelAvailable,name,brand,style,color,rarity,price
N/A,Starter Socks,N/A,Varies,Varies,N/A,N/A
1,Athletic Socks,All-World,Solid Colour,White,Starter,$100 
1,Athletic Socks,All-World,Solid Colour,Red,Starter,$100 
1,Athletic Socks,All-World,Solid Colour,Royal Blue,Starter,$100 
1,Athletic Socks,All-World,Solid Colour,Heather Gray,Starter,$100 
1,Athletic Socks,All-World,Solid Colour,Black,Starter,$100 
1,Checkered Socks,All-World,Checker,Black/White,Starter,$100 
1,Checkered Socks,All-World,Checker Ankle,Purple,Starter,$100 
1,Checkered Socks,All-World,Checker Ankle,Blue/Yellow,Starter,$100 
1,Checkered Socks,All-World,Checker Gradient,Yellow/Black/Purple,Starter,$100 
1,Checkered Socks,All-World,Checker Ankle,Purple/Yellow,Starter,$100 
1,Checkered Socks,All-World,Checker,Green,Starter,$100 
1,Checkered Socks,All-World,Checker,Beige,Starter,$100 
1,Shot Socks,All-World,Shot,Orange,Starter,$100 
1,Shot Socks,All-World,Shot,Blue,Starter,$100 
1,Shot Socks,All-World,Shot,Cyan,Starter,$100 
1,Shot Socks,All-World,Shot,Yellow,Starter,$100 
1,Shot Socks,All-World,Shot,Purple,Starter,$100 
1,Hoop Socks,All-World,Hoop,Black/White,Starter,$100 
1,Hoop Socks,All-World,Hoop,Red/Yellow,Starter,$100 
1,Hoop Socks,All-World,Hoop,White/Red,Starter,$100 
1,Trippy Socks,All-World,Trippy,Cyan,Starter,$100 
1,Trippy Socks,All-World,Trippy,Blue,Starter,$100 
1,Trippy Socks,All-World,Trippy,Purple,Starter,$100 
1,Trippy Socks,All-World,Trippy,Teal,Starter,$100 
1,Trippy Socks,All-World,Trippy,Yellow,Starter,$100 
1,Trippy Socks,All-World,Trippy,Blue/Yellow,Starter,$100
1,High Octane Socks,All-World,High Octane,Gray,Starter,$100
1,High Octane Socks,All-World,High Octane,Blue,Starter,$100
1,High Octane Socks,All-World,High Octane,Yellow,Starter,$100
1,High Octane Socks,All-World,High Octane,Beige,Starter,$100
1,High Octane Socks,All-World,High Octane,Teal,Starter,$100
1,Charge Socks,All-World,Charge,Blue,Starter,$100
1,Charge Socks,All-World,Charge,White,Starter,$100
1,Charge Socks,All-World,Charge,Orange,Starter,$100
1,Charge Socks,All-World,Charge Gradient,Blue/Black,Starter,$100
1,76ers Socks,Stance,NBA Classic,Red,Starter,$100
1,Bulls Socks,Stance,NBA Classic,Red,Starter,$100
1,Bucks Socks,Stance,NBA Classic,Purple,Starter,$100
1,Celtics Socks,Stance,NBA Classic,Green,Starter,$100
1,Clippers Socks,Stance,NBA Classic,Red,Starter,$100
1,Heat Socks,Stance,NBA Classic,White,Starter,$100
1,Jazz Socks,Stance,NBA Classic,Purple,Starter,$100
1,Lakers Socks,Stance,NBA Classic,White,Starter,$100
1,Mavericks Socks,Stance,NBA Classic,Green,Starter,$100
1,Nets Socks,Stance,NBA Classic,White,Starter,$100
1,Raptors Socks,Stance,NBA Classic,Purple,Starter,$100
1,Warriors Socks,Stance,NBA Classic,Blue,Starter,$100
